pango_lineage	B.1.177	#80B974
pango_lineage	B.1.177.86	#82BA72
pango_lineage	B.1.232	#83BA70
pango_lineage	B.1.234	#85BA6E
pango_lineage	B.1.240	#87BB6D
pango_lineage	B.1.241	#89BB6B
pango_lineage	B.1.243	#8ABB6A
pango_lineage	B.1.258	#8CBB68
pango_lineage	B.1.265	#8EBC67
pango_lineage	B.1.280	#90BC65
pango_lineage	B.1.293	#92BC64
pango_lineage	B.1.298	#93BD62
pango_lineage	B.1.306	#95BD61
pango_lineage	B.1.311	#97BD5F
pango_lineage	B.1.319	#99BD5D
pango_lineage	B.1.323	#9ABE5C
pango_lineage	B.1.332	#9CBE5B
pango_lineage	B.1.335	#9EBE5A
pango_lineage	B.1.340	#A0BE58
pango_lineage	B.1.349	#A2BE57
pango_lineage	B.1.351	#A4BE56
pango_lineage	B.1.356	#A5BE55
pango_lineage	B.1.361	#A7BE54
pango_lineage	B.1.369	#A9BD53
pango_lineage	B.1.375	#ABBD52
pango_lineage	B.1.383	#ADBD51
pango_lineage	B.1.396	#AFBD4F
pango_lineage	B.1.400	#B0BD4E
pango_lineage	B.1.409	#B2BD4D
pango_lineage	B.1.427	#B4BD4C
pango_lineage	B.1.429	#B6BD4B
pango_lineage	B.1.433	#B7BC4B
pango_lineage	B.1.448	#B9BC4A
pango_lineage	B.1.451	#BBBC49
pango_lineage	B.1.478	#BCBB49
pango_lineage	B.1.503	#BEBB48
pango_lineage	B.1.507	#C0BA47
pango_lineage	B.1.509	#C2BA46
pango_lineage	B.1.517	#C3BA46
pango_lineage	B.1.521	#C5B945
pango_lineage	B.1.525	#C7B944
pango_lineage	B.1.526	#C8B844
pango_lineage	B.1.539	#CAB843
pango_lineage	B.1.543	#CBB742
pango_lineage	B.1.544	#CDB642
pango_lineage	B.1.561	#CEB541
pango_lineage	B.1.564	#CFB441
pango_lineage	B.1.565	#D1B440
pango_lineage	B.1.575	#D2B340
pango_lineage	B.1.582	#D3B240
pango_lineage	B.1.585	#D4B13F
pango_lineage	B.1.588	#D6B03F
pango_lineage	B.1.595	#D7AF3E
pango_lineage	B.1.595.1	#D8AE3E
pango_lineage	B.1.596	#DAAD3D
pango_lineage	B.1.601	#DBAC3D
pango_lineage	B.1.602	#DCAB3C
pango_lineage	B.1.603	#DDA93C
pango_lineage	B.1.604	#DEA83C
pango_lineage	B.1.609	#DEA63B
pango_lineage	B.1.617	#DFA43B
pango_lineage	B.1.617.1	#E0A33A
pango_lineage	B.1.617.2	#E0A13A
pango_lineage	AY.3	#E19F3A
pango_lineage	AY.3.1	#E29E39
pango_lineage	AY.4	#E39C39
pango_lineage	AY.5	#E39A39
pango_lineage	AY.14	#E49938
pango_lineage	AY.20	#E59738
pango_lineage	AY.25	#E59537
pango_lineage	AY.25.1	#E69337
pango_lineage	AY.26	#E69137
pango_lineage	AY.35	#E68F36
pango_lineage	AY.36	#E68C36
pango_lineage	AY.37	#E68A35
pango_lineage	AY.39	#E68735
pango_lineage	AY.42	#E68534
pango_lineage	AY.43	#E68234
pango_lineage	AY.44	#E68033
pango_lineage	AY.45	#E67E33
pango_lineage	AY.46.4	#E67B32
pango_lineage	AY.47	#E67932
pango_lineage	AY.54	#E67631
pango_lineage	AY.75	#E67431
